,masked_idx,masked_correct,entailment
0,3,7,True
1,14,4,False
2,18,3,True
3,5,4,True
4,3,3,False
5,14,3,True
6,5,5,False
7,5,4,True
8,7,4,True
9,15,3,True
10,2,8,True
11,2,7,True
12,2,7,False
13,3,4,True
14,3,7,False
15,2,3,True
16,5,3,True
17,3,8,True
18,6,5,False
19,7,5,True
20,2,6,True
21,10,3,True
22,4,7,True
23,5,5,True
24,15,3,True
25,2,7,False
26,2,7,True
27,9,3,False
28,5,3,False
29,7,4,True
30,10,6,True
31,17,3,True
32,11,7,True
33,2,4,True
34,4,8,True
35,3,8,False
36,9,3,True
37,13,3,False
38,2,4,True
39,6,5,True
40,2,8,True
41,2,6,False
42,13,5,True
43,2,4,True
44,5,3,True
45,2,5,True
46,4,4,True
47,11,8,True
48,6,3,False
49,13,6,False
50,20,4,True
51,2,3,False
52,3,6,True
53,10,8,True
54,13,4,True
55,9,7,True
56,4,6,True
57,4,8,False
58,8,3,True
59,6,6,True
60,6,3,True
61,8,4,False
62,5,4,True
63,6,8,False
64,3,4,True
65,16,3,False
66,2,3,False
67,17,4,True
68,9,4,False
69,9,3,True
70,2,5,True
71,11,3,True
72,11,7,True
73,12,3,True
74,13,3,True
75,3,4,True
76,3,4,False
77,4,3,False
78,8,3,True
79,2,3,True
80,3,4,True
81,2,4,True
82,3,8,True
83,9,11,False
84,6,3,True
85,6,3,False
86,2,6,False
87,5,4,True
88,3,7,True
89,6,5,True
90,3,4,False
91,2,8,True
92,2,3,False
93,5,4,False
94,6,11,False
95,7,5,True
96,2,3,False
97,4,5,True
98,2,3,False
99,3,6,False
100,2,8,False
101,6,4,False
102,2,5,True
103,3,4,False
104,9,3,False
105,2,3,False
106,2,6,False
107,3,3,True
108,3,10,True
109,5,5,True
110,6,12,True
111,2,4,True
112,7,8,True
113,2,11,False
114,4,4,True
115,13,5,True
116,3,4,True
117,3,7,False
118,5,4,True
119,12,15,False
120,14,3,True
121,6,15,True
122,5,11,True
123,6,8,True
124,7,3,False
125,2,9,True
126,3,8,True
127,3,7,True
128,3,6,False
129,2,11,False
130,14,3,False
131,8,4,True
132,10,3,True
133,4,3,True
134,17,6,True
135,7,12,False
136,3,15,True
137,8,3,True
138,5,3,True
139,3,8,True
140,3,4,False
141,7,3,False
142,15,8,True
143,6,8,True
144,6,3,False
145,3,13,True
146,4,7,False
147,6,13,False
148,3,9,True
149,5,3,True
150,4,7,True
151,3,11,False
152,10,3,True
153,9,3,True
154,6,5,False
155,2,15,True
156,2,4,True
157,9,10,False
158,18,14,False
159,5,12,False
160,8,4,True
161,5,7,True
162,6,7,True
163,5,8,False
164,2,5,True
165,2,14,True
166,3,4,True
167,12,9,False
168,10,7,False
169,8,14,True
170,3,4,True
171,5,14,False
172,4,4,True
173,7,3,True
174,2,5,True
175,4,8,False
176,3,4,True
177,10,12,False
178,15,4,True
179,6,8,True
180,2,14,True
181,10,11,True
182,7,7,False
183,11,10,False
184,3,6,True
185,6,14,False
186,10,7,True
187,2,7,True
188,2,4,True
189,4,9,True
190,4,5,True
191,7,4,False
192,2,4,True
193,4,4,True
194,7,3,False
195,2,7,True
196,7,3,False
197,4,4,False
198,3,12,True
199,13,7,True
200,4,4,False
201,11,14,False
202,7,3,True
203,2,14,True
204,16,4,True
205,15,4,False
206,3,8,True
207,8,7,False
208,2,8,True
209,10,7,True
210,2,7,False
211,3,3,True
212,8,3,False
213,4,15,True
214,5,7,True
215,3,4,False
216,3,7,False
217,3,8,True
218,8,12,False
219,3,9,True
220,10,12,True
221,3,12,False
222,5,3,True
223,5,3,False
224,6,3,True
225,5,5,True
226,3,10,True
227,3,7,True
228,2,6,True
229,3,7,True
230,8,14,True
231,2,7,True
232,3,6,False
233,10,3,True
234,6,10,True
235,2,3,False
236,12,4,True
237,9,3,False
238,11,10,True
239,6,13,True
240,25,7,False
241,17,11,True
242,9,3,False
243,9,9,False
244,4,3,False
245,10,8,True
246,3,14,False
247,18,4,True
248,5,3,False
249,9,4,False
250,10,8,True
251,2,3,True
252,23,3,True
253,3,8,False
254,13,3,True
255,5,4,False
256,3,6,True
257,2,6,False
258,6,3,True
259,5,12,False
260,5,5,False
261,3,5,False
262,9,12,True
263,3,9,True
264,5,3,True
265,16,3,True
266,7,5,False
267,2,7,False
268,12,6,True
269,4,4,False
270,2,7,False
271,13,8,False
272,2,4,True
273,13,8,False
274,2,12,True
275,6,3,False
276,2,3,False
277,4,11,True
278,5,3,True
279,5,5,False
280,2,6,False
281,3,3,True
282,17,8,True
283,12,9,True
284,3,3,True
285,8,5,True
286,9,7,True
287,4,15,False
288,14,8,False
289,5,3,True
290,4,7,False
291,4,5,True
292,13,4,True
293,23,6,False
294,2,12,True
295,12,3,True
296,25,7,True
297,6,5,False
298,2,4,True
299,21,15,False
300,2,7,True
301,4,10,False
302,3,3,True
303,4,10,True
304,38,3,True
305,3,8,False
306,4,13,True
307,8,7,True
308,3,3,True
309,2,4,True
310,3,7,True
311,2,13,True
312,4,3,True
313,4,7,False
314,2,4,True
315,7,8,False
316,3,15,False
317,4,10,True
318,2,3,False
319,3,7,True
320,24,14,False
321,26,3,False
322,10,12,False
323,2,5,True
324,3,14,False
325,6,7,True
326,5,4,True
327,5,7,False
328,14,11,False
329,3,4,False
330,5,14,False
331,4,7,True
332,2,3,False
333,15,5,True
334,5,13,True
335,2,7,False
336,12,13,True
337,3,3,True
338,3,7,True
339,3,4,False
340,5,5,False
341,13,10,True
342,2,3,False
343,4,3,True
344,6,7,False
345,7,3,False
346,15,6,True
347,2,8,False
348,13,10,False
349,20,4,False
350,3,11,True
351,11,3,True
352,2,8,True
353,2,4,True
354,3,4,True
355,2,8,True
356,3,7,True
357,11,8,False
358,2,7,True
359,36,7,False
360,2,13,False
361,5,4,True
362,2,3,False
363,8,14,True
364,5,6,False
365,2,8,False
366,11,4,False
367,10,3,True
368,5,4,True
369,13,3,True
370,15,15,False
371,2,10,True
372,3,5,True
373,4,14,True
374,5,8,True
375,3,3,True
376,5,7,True
377,3,6,True
378,2,14,True
379,7,3,False
380,11,7,False
381,2,3,False
382,28,4,True
383,18,4,True
384,13,4,False
385,8,3,False
386,14,10,False
387,17,5,True
388,13,9,False
389,6,4,True
390,4,5,True
391,20,4,True
392,5,12,True
393,3,3,True
394,3,3,True
395,18,7,True
396,12,4,False
397,5,5,True
398,12,5,True
399,3,4,False
400,15,14,True
401,7,13,False
402,3,3,False
403,11,8,True
404,3,4,True
405,14,4,False
406,2,3,False
407,10,4,True
408,18,8,True
409,5,5,True
410,3,4,False
411,2,11,False
412,8,4,True
413,6,3,True
414,22,4,True
415,4,8,False
416,3,4,False
417,12,14,False
418,12,3,False
419,2,3,False
420,4,6,True
421,3,4,True
422,3,3,True
423,17,3,True
424,4,8,True
425,4,4,True
426,2,3,False
427,2,4,True
428,5,7,False
429,3,3,True
430,3,6,True
431,2,3,False
432,2,7,False
433,17,10,False
434,2,3,True
435,4,15,False
436,2,6,False
437,2,14,True
438,3,6,True
439,7,5,True
440,4,7,False
441,3,13,True
442,5,4,True
443,24,7,False
444,2,4,True
445,12,8,True
446,2,9,False
447,5,7,False
448,2,3,True
449,6,8,False
450,8,3,True
451,12,3,True
452,20,5,False
453,2,4,True
454,3,3,True
455,18,9,True
456,15,11,True
457,9,7,False
458,14,3,False
459,15,6,True
460,6,3,False
461,6,5,True
462,2,6,True
463,4,7,False
464,3,5,False
465,2,4,True
466,18,7,False
467,7,9,True
468,15,3,False
469,4,11,False
470,2,3,False
471,2,7,False
472,17,4,True
473,11,3,True
474,3,7,True
475,4,3,True
476,3,4,False
477,12,13,True
478,10,4,True
479,20,5,False
480,5,3,True
481,7,7,True
482,13,3,False
483,3,12,True
484,2,3,False
485,3,3,True
